"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.7635,0.306,-2.4952,0.0126
"one_timerTRUE",0.717,0.2765,2.5937,0.0095
"behind_net_shotTRUE",0.1898,0.3415,0.5557,0.5784
"through_middle_shotTRUE",0.6363,0.269,2.3651,0.018
"shot_after_passTRUE",0.3491,0.3135,1.1135,0.2655
"goal_dist",-0.104,0.0121,-8.5883,0
"shot_angle",-0.0067,0.0047,-1.4304,0.1526
"period_seconds",-0.0005,0.0003,-1.6557,0.0978
"trafficTRUE",-0.0595,0.2637,-0.2258,0.8213
"advantage",-0.174,0.1921,-0.906,0.3649
